Date,Value
2018-08-31,1.16
2018-07-31,1.16
2018-06-30,1.16
2018-05-31,1.16
2018-04-30,1.16
2018-03-31,1.162
2018-02-28,1.166
2018-01-31,1.174
2017-12-31,1.182
2017-11-30,1.188
2017-10-31,1.19
2017-09-30,1.186
2017-08-31,1.178
2017-07-31,1.172
2017-06-30,1.166
2017-05-31,1.164
2017-04-30,1.162
2017-03-31,1.16
2017-02-28,1.16
2017-01-31,1.16
2016-12-31,1.164
2016-11-30,1.166
2016-10-31,1.166
2016-09-30,1.164
2016-08-31,1.16
2016-07-31,1.158
2016-06-30,1.156
2016-05-31,1.158
2016-04-30,1.16
2016-03-31,1.164
2016-02-29,1.166
2016-01-31,1.174
2015-12-31,1.178
2015-11-30,1.176
2015-10-31,1.168
2015-09-30,1.158
2015-08-31,1.154
2015-07-31,1.152
2015-06-30,1.146
2015-05-31,1.142
2015-04-30,1.136
2015-03-31,1.132
2015-02-28,1.132
2015-01-31,1.14
2014-12-31,1.15
2014-11-30,1.156
2014-10-31,1.154
2014-09-30,1.14
2014-08-31,1.112
2014-07-31,1.082
2014-06-30,1.06
2014-05-31,1.052
2014-04-30,1.05
2014-03-31,1.048
2014-02-28,1.044
2014-01-31,1.048
2013-12-31,1.06
2013-11-30,1.072
2013-10-31,1.082
2013-09-30,1.084
2013-08-31,1.086
2013-07-31,1.078
2013-06-30,1.064
2013-05-31,1.052
2013-04-30,1.05
2013-03-31,1.058
2013-02-28,1.066
2013-01-31,1.07
2012-12-31,1.074
2012-11-30,1.078
2012-10-31,1.07
2012-09-30,1.064
2012-08-31,1.06
2012-07-31,1.058
2012-06-30,1.052
2012-05-31,1.046
2012-04-30,1.04
2012-03-31,1.032
2012-02-29,1.03
2012-01-31,1.028
2011-12-31,1.03
2011-11-30,1.03
2011-10-31,1.032
2011-09-30,1.032
2011-08-31,1.03
2011-07-31,1.022
2011-06-30,1.016
2011-05-31,1.012
2011-04-30,1.014
2011-03-31,1.024
2011-02-28,1.036
2011-01-31,1.054
2010-12-31,1.068
2010-11-30,1.08
